id_eca_14,H3_int_4
North American area 1,594988906210918399
North American area 1,595194660914200575
North American area 1,594985401517604863
North American area 1,595198414715617279
North American area 1,594988201836281855
North American area 1,594690672271818751
North American area 1,594690895610118143
North American area 1,594989078009610239
North American area 1,595192934337347583
North American area 1,594988098757066751
North American area 1,594989009290133503
North American area 1,594802547579944959
North American area 1,595195442598248447
North American area 1,594985384337735679
North American area 1,594802143853019135
North American area 1,594802719378636799
North American area 1,594991929867894783
North American area 1,594988425174581247
North American area 1,595199917954170879
North American area 1,594993330027233279
North American area 1,595182454617145343
North American area 1,595181286386040831
North American area 1,595198260096794623
North American area 1,594819521290698751
North American area 1,595194600784658431
North American area 1,594986251921129471
North American area 1,595196653779025919
North American area 1,595181372285386751
North American area 1,594992067306848255
North American area 1,595196464800464895
North American area 1,594804102358106111
North American area 1,595197684571176959
North American area 1,594803913379545087
North American area 1,594993029379522559
North American area 1,595197770470522879
North American area 1,594988373634973695
North American area 1,594988700052488191
North American area 1,594988536843730943
North American area 1,595198277276663807
North American area 1,595197212124774399
North American area 1,595179121722523647
North American area 1,594819495520894975
North American area 1,594690749581230079
North American area 1,594989026470002687
North American area 1,595194343086620671
North American area 1,595194961561911295
North American area 1,594992909120438271
North American area 1,595197779060457471
North American area 1,595192358811729919
North American area 1,594992342184755199
North American area 1,594986166021783551
North American area 1,595184773899485183
North American area 1,595181131767218175
North American area 1,594804076588302335
North American area 1,594992917710372863
North American area 1,594988296325562367
North American area 1,595181063047741439
North American area 1,595197607261765631
North American area 1,594987712210010111
North American area 1,594993098098999295
North American area 1,594691247797436415
North American area 1,595194995921649663
North American area 1,594693652979122175
North American area 1,595195227849883647
North American area 1,594987772339552255
North American area 1,595192891387674623
North American area 1,594691213437698047
North American area 1,594800803823222783
North American area 1,594993115278868479
North American area 1,595179654298468351
North American area 1,595195013101518847
North American area 1,594802702198767615
North American area 1,594690758171164671
North American area 1,594992247695474687
North American area 1,594690706631557119
North American area 1,594992213335736319
North American area 1,594992771681484799
North American area 1,594987737979813887
North American area 1,595194291547013119
North American area 1,595196610829352959
North American area 1,594991208313389055
North American area 1,594993261307756543
North American area 1,594692690906447871
North American area 1,595181612803555327
North American area 1,595179130312458239
North American area 1,594992144616259583
North American area 1,595194549245050879
North American area 1,594992797451288575
North American area 1,595193046006497279
North American area 1,595181818961985535
North American area 1,595178967103700991
North American area 1,594804162487648255
North American area 1,595182007940546559
North American area 1,595192333041926143
North American area 1,595746839089643519
North American area 1,595182050890219519
North American area 1,594803939149348863
North American area 1,594992101666586623
North American area 1,595181209076629503
North American area 1,595198139837710335
North American area 1,594991156773781503
North American area 1,594987875418767359
North American area 1,594988785951834111
North American area 1,595181466774667263
North American area 1,595194635144396799
North American area 1,594987746569748479
North American area 1,595197718930915327
North American area 1,595198397535748095
North American area 1,594819529880633343
North American area 1,594690689451687935
North American area 1,594804093768171519
North American area 1,594693558489841663
North American area 1,594989052239806463
North American area 1,595194566424920063
North American area 1,595194325906751487
North American area 1,595179559809187839
North American area 1,594804128127909887
North American area 1,595180564831535103
North American area 1,595181148947087359
North American area 1,595194523475247103
North American area 1,594690869840314367
North American area 1,595195408238510079
North American area 1,595746985118531583
North American area 1,595197890729607167
North American area 1,594801722946224127
North American area 1,595178924154028031
North American area 1,594993347207102463
North American area 1,594986157431848959
North American area 1,594801877565046783
North American area 1,595179843277029375
North American area 1,594692020891549695
North American area 1,595198191377317887
North American area 1,594693644389187583
North American area 1,595178872614420479
North American area 1,595197813420195839
North American area 1,595179834687094783
North American area 1,594993201178214399
North American area 1,595192126883495935
North American area 1,594988682872619007
North American area 1,594993312847364095
North American area 1,595197143405297663
North American area 1,595194068208713727
North American area 1,594691514085408767
North American area 1,594691368056520703
North American area 1,594993304257429503
North American area 1,594690732401360895
North American area 1,594801860385177599
North American area 1,594987669260337151
North American area 1,595179774557552639
North American area 1,594992093076652031
North American area 1,594992866170765311
North American area 1,595192685229244415
North American area 1,595181054457806847
North American area 1,595193054596431871
North American area 1,595192161243234303
North American area 1,595179688658206719
North American area 1,595192633689636863
North American area 1,594802418730926079
North American area 1,594988270555758591
North American area 1,594988193246347263
North American area 1,594990005722546175
North American area 1,594987978497982463
North American area 1,595196877117325311
