id_port_1,H3_int_8
LUBEC,613247701414313983
LUBEC,613247701420605439
MACHIASPORT,613247667459325951
MACHIAS,613247667755024383
JONESPORT,613247663074181119
WYMAN,613247665146167295
WYMAN,613247665154555903
MILBRIDGE,613247665246830591
COREA,613247693126369279
WINTER HARBOR,613247695525511167
SORRENTO,613247695663923199
BAR HARBOR,613247695217229823
NORTHEAST HARBOR,613247690551066623
NORTHEAST HARBOR,613247690513317887
NORTHEAST HARBOR,613247690611884031
SOUTHWEST HARBOR,613247690991468543
MOUNT DESERT,613247848573566975
FRENCHBORO,613247924792459263
MINTURN,613247924872151039
MINTURN,613247925058797567
SWANS ISLAND,613247924995883007
SWANS ISLAND,613247925060894719
BASS HARBOR,613247690962108415
BASS HARBOR,613247690964205567
ELLSWORTH,613247847992655871
ELLSWORTH,613247847988461567
ELLSWORTH,613247847980072959
BROOKLIN,613247844498800639
BROOKLIN,613247844490412031
BUCKS HARBOR,613247846314934271
STONINGTON,613247927202086911
CRIEHAVEN,613247886542503935
MATINICUS,613247890720030719
MATINICUS,613247890722127871
VINALHAVEN,613247922768707583
VINALHAVEN,613247922749833215
NORTH HAVEN,613247814486458367
NORTH HAVEN,613247814475972607
CASTINE,613247847116046335
SANDYPOINT,613247846004555775
SANDYPOINT,613247846000361471
BUCKSPORT,613247849938812927
BUCKSPORT,613247849743777791
BUCKSPORT,613247849752166399
WINTERPORT,613247806047518719
WINTERPORT,613247806007672831
BANGOR,613247834837221375
BANGOR,613247834828832767
SEARSPORT,613247845459296255
BELFAST,613247801815465983
BELFAST,613247801811271679
CAMDEN,613247809447002111
ROCKPORT,613247808624918527
ROCKPORT,613247808633307135
ROCKLAND,613247812445929471
MONHEGAN,613232030752178175
PORT CLYDE,613232035055534079
THOMASTON,613247811951001599
FRIENDSHIP,613232035128934399
NEW HARBOR,613232029141565439
PEMAQUID BEACH,613232029152051199
PEMAQUID BEACH,613232029087039487
SOUTH BRISTOL,613232029091233791
BOOTHBAY HARBOR,613232029342892031
BOOTHBAY HARBOR,613232029315629055
ROBINHOOD,613232031194677247
BATH,613232031343575039
BATH,613232031349866495
GARDINER,613247829890039807
AUGUSTA,613247828730314751
CUNDY HARBOR,613231998879662079
SOUTH HARPSWELL,613231995457110015
SOUTH HARPSWELL,613231995469692927
PORTLAND,613231997053042687
SACO,613232027524661247
SACO,613232027444969471
KENNEBUNKPORT,613232020377567231
PORTSMOUTH,613231777028243455
NEWBURYPORT,613231726319108095
ROCKPORT,613231725463470079
ROCKPORT,613231725461372927
ROCKPORT,613231725471858687
GLOUCESTER,613231720835055615
BEVERLY,613231723030773759
BEVERLY,613231723039162367
SALEM,613231723051745279
MARBLEHEAD,613231735051649023
LYNN,613231751487029247
BOSTON,613231747070427135
QUINCY,613231965035823103
QUINCY,613231965126000639
QUINCY,613231965134389247
SCITUATE,613231732222590975
PLYMOUTH,613231805851500543
PROVINCETOWN,613231843833020415
PROVINCETOWN,613231843912712191
HYANNIS,613231819214553087
HYANNIS,613231819222941695
HYANNIS PORT,613231819147444223
HYANNIS PORT,613231819155832831
HYANNIS PORT,613231819145347071
FALMOUTH,613231817056583679
NANTUCKET,613231800208064511
EDGARTOWN,613231815685046271
VINEYARD HAVEN,613231817960456191
VINEYARD HAVEN,613231817958359039
VINEYARD HAVEN,613231818216308735
WOODS HOLE,613231817044000767
WOODS HOLE,613231817016737791
NEW BEDFORD,613231974586253311
NEW BEDFORD,613231974592544767
NEW BEDFORD,613231974588350463
NEWPORT,613231938924183551
FALL RIVER,613231971490856959
TIVERTON,613231971132243967
TIVERTON,613231971130146815
BRISTOL,613231970991734783
PROVIDENCE,613231931496071167
QUONSET POINT,613231939576397823
QUONSET POINT,613231939062595583
DAVISVILLE DEPOT,613231939628826623
DAVISVILLE DEPOT,613231939626729471
DAVISVILLE DEPOT,613231927133995007
MONTAUK HARBOR,613229902377779199
MONTAUK HARBOR,613229902373584895
MONTAUK HARBOR,613229902438596607
GREENPORT,613229917265461247
STONINGTON,613231952866050047
NOANK,613229905882120191
MYSTIC,613231953130291199
MYSTIC,613231953128194047
NEW LONDON,613231954956910591
NORWICH,613231952111075327
ESSEX,613229920545406975
ESSEX,613229920543309823
ESSEX,613229920534921215
NEW HAVEN,613229805598408703
PORT JEFFERSON,613229884004630527
PORT JEFFERSON,613229884002533375
BRIDGEPORT,613229561234063359
BRIDGEPORT,613229561244549119
SOUTHPORT,613229555747913727
SOUTHPORT,613229555752108031
SOUTHPORT,613229555760496639
NORWALK,613229555481575423
NORWALK,613229555485769727
STAMFORD,613229558608429055
GREENWICH,613229525483913215
GREENWICH,613229525502787583
PORT CHESTER,613229524953333759
PORT CHESTER,613229525014151167
CITY ISLAND,613229520652075007
BROOKLYN,613229552694460415
NEW YORK CITY,613229551385837567
NEW YORK CITY,613229551387934719
PATCHOGUE,613229569052246015
PATCHOGUE,613229569064828927
YONKERS,613229527268589567
YONKERS,613229527260200959
NEWBURGH,613229977309020159
NEWBURGH,613229977311117311
POUGHKEEPSIE,613229976533073919
KINGSTON,613229968947675135
CATSKILL,613255440509173759
CATSKILL,613255440515465215
ALBANY/RENSSELAER,613255428582670335
TROY,613255433603252223
TROY,613255433601155071
EDGEWATER,613229523042828287
EDGEWATER,613229523040731135
WEEHAWKEN,613229551339700223
WEEHAWKEN,613229551320825855
HOBOKEN,613229551341797375
HOBOKEN,613229551280979967
JERSEY CITY,613229551488598015
BAYONNE,613229550953824255
NEWARK,613229551190802431
NEWARK,613229551228551167
NEWARK,613229551188705279
ELIZABETHPORT,613229547313168383
ELIZABETHPORT,613229547321556991
STAPLETON SI/TOMPKINSVILLE SI,613229552157589503
STAPLETON SI/TOMPKINSVILLE SI,613229552165978111
PORT RICHMOND SI,613229547027955711
MARINERS HARBOR SI,613229547002789887
BAYWAY/GULFPORT SI,613229547254448127
BAYWAY/GULFPORT SI,613229547227185151
PORT SOCONY/SEWAREN,613229546822434815
GRASSELLI,613229547248156671
GRASSELLI,613229546528833535
CARTERET,613229546453336063
CARTERET,613229546455433215
CHROME,613229546476404735
PORT READING,613229546889543679
MAURER,613229546843406335
MAURER,613229546883252223
MAURER,613229546881155071
PERTH AMBOY,613229550215626751
PERTH AMBOY,613229550224015359
SAYREVILLE,613229549915734015
SAYREVILLE,613229549911539711
SOUTH AMBOY,613229549716504575
LEONARDO,613229547736793087
LEONARDO,613229547699044351
LEONARDO,613229547512397823
BARNEGAT,613229772132057087
ATLANTIC CITY,613229738764271615
SALEM NJ,613240287130550271
NEW CASTLE,613240287333974015
DEEPWATER POINT,613240287906496511
DEEPWATER POINT,613240287868747775
WILMINGTON,613240286195220479
WILMINGTON,613240286197317631
WILMINGTON,613240286711119871
MARCUS HOOK,613240284702048255
CHESTER,613240288596459519
CHESTER,613240288556613631
CAMDEN/PHILADELPHIA,613229748069335039
PAULSBORO,613240288357384191
PAULSBORO,613240288351092735
PAULSBORO,613240288353189887
GLOUCESTER,613229747691847679
BURLINGTON,613229749736570879
BRISTOL,613229749705113599
BRISTOL,613229748444725247
TRENTON,613229781837676543
OCEAN CITY,613230228054999039
CAPE CHARLES,613245376387874815
CAPE CHARLES,613245376348028927
SALISBURY,613240071243431935
SALISBURY,613240071237140479
HAVRE DE GRACE,613240272213508095
HAVRE DE GRACE,613240252007448575
BALTIMORE,613240019437486079
BALTIMORE,613240019439583231
ANNAPOLIS,613239966576672767
ANNAPOLIS,613239966568284159
ANNAPOLIS,613239966564089855
SOLOMONS ISLAND,613240058863943679
WASHINGTON D.C.,613239999124471807
ALEXANDRIA,613239998224793599
ALEXANDRIA,613239998233182207
PINEY POINT,613240220051046399
PINEY POINT,613240220063629311
YORKTOWN,613245328899964927
WEST POINT,613245380265508863
FREDERICKSBURG,613240227206529023
NORFOLK,613245334757310463
PORTSMOUTH,613245335191420927
PORTSMOUTH,613245335210295295
NEWPORT NEWS,613245341451419647
WARWICK,613238145755906047
WARWICK,613238145812529151
RICHMOND,613238152124956671
RICHMOND,613238152137539583
ELIZABETH CITY,613244934410993663
ELIZABETH CITY,613244934392119295
HERTFORD,613245094404816895
EDENTON,613245097854631935
PLYMOUTH,613245061024448511
PLYMOUTH,613245060986699775
COLUMBIA,613245175958863871
BELHAVEN,613245142851125247
WASHINGTON,613243025828610047
BAYBORO,613245149337616383
NEW BERN,613243116371050495
BEAUFORT,613243064661573631
MOREHEAD CITY,613243062904160255
SWANSBORO,613243077257068543
WRIGHTSVILLE,613242729226305535
WRIGHTSVILLE,613242728802680831
WILMINGTON,613242723457040383
SOUTHPORT,613242803725533183
SOUTHPORT,613242803738116095
GEORGETOWN,613700341474525183
GEORGETOWN,613700341487108095
GEORGETOWN,613700341478719487
CHARLESTON,613700142123450367
CHARLESTON,613700142119256063
PORT ROYAL,613700474685620223
BEAUFORT,613700159435440127
BEAUFORT,613700159427051519
BEAUFORT,613700159424954367
SAVANNAH,613700510735663103
DARIEN,613702519681449983
DARIEN,613702519165550591
BRUNSWICK,613702521417891839
FERNANDINA BEACH,613702338714009599
FERNANDINA BEACH,613702338812575743
MAYPORT,613702331724201983
MAYPORT,613702331780825087
JACKSONVILLE,613702313091006463
ST AUGUSTINE,613702733515456511
ST AUGUSTINE,613702733507067903
CANAVERAL HARBOR,613697618616254463
CANAVERAL HARBOR,613697618622545919
CANAVERAL HARBOR,613697618620448767
FORT PIERCE,613697417971236863
PALM BEACH,613697813475229695
PALM BEACH,613697813466841087
PALM BEACH,613697813479423999
PORT EVERGLADES,613696897755906047
PORT EVERGLADES,613696897695088639
PORT EVERGLADES,613696885261074431
MIAMI,613696886831841279
MIAMI,613696886833938431
MIAMI,613696886318039039
KEY WEST,613687373567361023
KEY WEST,613687373569458175
BOCA GRANDE,613687138371764223
PORT MANATEE,613687906894086143
PORT MANATEE,613687906875211775
TAMPA,613687641705021439
ST PETERSBURG,613687646176149503
ST PETERSBURG,613687646178246655
TARPON SPRINGS,613687654281641983
CARRABELLE,613701668065771519
APALACHICOLA,613701516502499327
APALACHICOLA,613701512431927295
APALACHICOLA,613701516506693631
PORT ST JOE,613701494920708095
PANAMA CITY,613701572465000447
PANAMA CITY,613701572525817855
